ID,Positive,Negative,Tweet
1361115013402951680,,"ผวา, ป่วยโควิดเพิ่ม",นครปฐมผวา ป่วยโควิดเพิ่ม ราย เป็นเครือญาติกันทั้งหมด พบนักเรียนอายุ ปี ไปเรียนกลับบ้านทุกวันก่อนพบติดโควิดจากผู้ปกครอง อยู่ในพื้นที่ตำบลดอนแฝก อำเภอนครชัยศรี ซึ่งอาจจะเป็นกลุ้มก้อนใหม่
1361112007924092931,ตรวจโควิดไม่เจอ,"มีอาการไอ, มีน้ำมูก, พบเชื้อโควิด",เช็กด่วน ไทม์ไลน์ผู้ป่วยโควิดกทม. ราย ล่าสุด พบบุคลากรแพทย์ มีอาการไอมีน้ำมูกตรวจโควิดรอบแรกไม่เจอเชื้อไปทำงานที่ รพ. ตามปกติร่วม วัน ก่อนตรวจซ้ำรอบสองพบเชื้อโควิด
1361090342888624130,,แพทย์ติด,ไทม์ไลน์ผู้ติดเชื้อโควิดกทม.เพิ่ม ราย พบบุคลากรการแพทย์ติด ราย
1360933571955843077,,"เสี่ยงโควิด, จับผู้ต้องหา, คุมขัง",โรงพัก เรือนจำ ห้องกัก เสี่ยงโควิด จับผู้ต้องหา คุมขังหลายวัน ส่งตม.ตรวจเชิงรุกพบติดเชื้อ
1360777204406226945,,มีอาการป่วย,กทม.เปิดไทม์ไลน์โควิดเพิ่มอีก ราย พบ รายในนี้ มีอาการป่วยและไปตรวจหาเชื้อ แต่ยังไปเดินห้างฯ ทาน โลตัส และยังมีเด็กทารกอายุ เดือนชาวเมียนมาติดเชื้อ
1360139008957845505,,ยอดสะสมพุ่ง,กทม.พบติดเชื้อโควิด เพิ่ม ราย เป็นสัญชาติไทย ราย สัญชาติเมียนมา ราย ยอดสะสมพุ่ง คน
1360045671022137344,สกัดการระบาด,"ปิดมหาวิทยาลัย, หลังพบติดเชื้อ",จุฬาลงกรณ์มหาวิทยาลัย ประกาศปิดมหาวิทยาลัยเป็นการชั่วคราวตั้งแต่วันนี้ ก.พ. ปรับให้ สอนสอบ แบบออนไลน์ หวังสกัดการระบาดโควิด หลังพบติดเชื้อรวม รายแล้ว
1359891647815798786,,พบเชื้ออีก,#โควิดกทม.แตะ จุฬาฯพบเชื้ออีก คนแล้ว เปิดไทม์ไลน์กลุ่มรปภ.ทำงานหอพักนิสิต ลานจอด
1359883699731394564,,,#โคโควิดกทม.แตะ จุฬาฯพบเชื้ออีก คนแล้ว เปิดไทม์ไลน์กลุ่มรปภ.ทำงานหอพักนิสิต ลานจอด
1359871246767448064,,,โควิดกทม.แตะ จุฬาฯพบเชื้ออีก คนแล้ว เปิดไทม์ไลน์กลุ่มรปภ.ทำงานหอพักนิสิต ลานจอด
1359843456588255232,เสร็จเรียบร้อย,,กทม.เปิดไทม์ไลน์ ผู้ติดเชื้อโควิด ที่สอบสวนโรคเสร็จเรียบร้อยเพิ่มอีก ราย ในจำนวนนี้ รายเป็นบุคลากรจากจุฬาฯ
1359786344206114818,ไร้ผู้ติดเชื้อ,พบผู้ป่วย,ศบค.รายงานสถานการณ์ โควิด ในกรุงเทพฯ วันนี้กลับมาเลขสองหลัก พบผู้ป่วยรายใหม่ ราย อายุต่ำสุดเพียง เดือน รวมสะสม คน เขตสะพานสูงสัมพันธวงศ์ ยังไร้ผู้ติดเชื้อ
1359725367536144385,,ติดโควิด,เปิดไทม์ไลน์ครอบครัวแม่ค้าขายผัก หลังติดโควิด รวม คน ในครอบครัว
1359675885842927616,,,สมุทรสาคร ตรวจโควิดเชิงรุก พบผู้ติดเชื้อรายใหม่อีก ราย
1359671913644130309,ควบคุมสถานการณ์ได้,,จุฬาลงกรณ์มหาวิทยาลัย ออกประกาศมาตรการของคณะกรรมการโควิด หลังพบผู้ติดเชื้อไวรัสโคโรนา ฉบับที่ พบผู้ติดเชื้อโควิดเพิ่มอีก ราย ยอดสะสมรวม รายยืนยันยังควบคุมสถานการณ์ได้
1359664440371597315,,เช็กด่วน,เช็กด่วน กทม.เปิดไทม์ไลน์ผู้ป่วยโควิดเพิ่ม ราย มี รปภ. แม่บ้าน นักวิชาการ คนเดินเอกสาร เชื่อมโยง ม.จุฬาฯ
1359393068856741888,,ติดเชื้อ,ศบค.เผยข้อมูล พบผู้ขายติดเชื้อมากกว่าผู้ซื้อ สถิติตลาดสดมากกว่าตลาดนัด
1359370650977140741,,"สอบสวน, โยงเคส",กทม.พบผู้ติดเชื้อโควิด เพิ่ม ราย โยงเคส หอพัก จุฬาฯ แบ่งเป็น รปภ. ราย พนักงาน ราย ไม่ระบุ ราย มีความเชื่อมโยงไปหลายส่วน ใกล้ตลาดที่มีแรงงานเมียนมา ทำการสอบสวนต่อไป รวมยอดผู้ป่วยสะสม ราย
1359192593536405504,,"ปิดโรงเรียน, ผวาโควิด",ประกาศปิดโรงเรียนคุมความเสี่ยง รร.สายปัญญา ผวาโควิดจากหอพักจุฬาฯ พบ นักเรียนอาศัยใกล้ชิดจุดพบเชื้อ
1359173707931865089,,,จุฬาลงกรณ์มหาวิทยาลัย ออกประกาศฉบับที่ พบติดเชื้อโควิด เพิ่มอีก ราย ยอดสะสมรวม ราย โดยเป็นผลจากการตรวจคัดกรองเชิงรุกกลุ่มผู้สัมผัสใกล้ชิดกับบุคลากรกลุ่มดังกล่าว ราย
1359123408340938757,,เสี่ยงโควิด,เปิดไทม์ไลน์บุคลากร จุฬาฯ เสี่ยงโควิด คน กทม.เร่งควบคุม ตรวจตลาดสวนหลวง ร้านอาหารเสี่ยง
1359087611441106945,,แพร่ระบาด,#กทม.ประสานจุฬาฯ เร่งควบคุมการแพร่ระบาดโควิด หลังพบจนท. คนติดเชื้อ
1359008453826543616,,,กรุงเทพมหานคร โดยสำนักงานประชาสัมพันธ์ เผยสรุปผลการค้นหาผู้ป่วยติดเชื้อโควิด ในพื้นที่เสี่ยง ของโรงงาน ในพื้นที่ เขต ได้แก่ ภาษีเจริญ บางแค หนองแขม บางบอน จอมทอง และบางขุนเทียน
1359005180042203139,"ปลอดภัยไร้โควิด, ไร้โควิด, ปลอดภัย",,ทำห้องสังสรรค์ส่วนตัว ปลอดภัยไร้โควิด
1358719543951040512,,"ติดเชื้อ,โควิด",กทม.เปิดไทม์ไลน์ผู้ติดเชื้อโควิด เพิ่ม ราย อาชีพ พนักงานบริษัท แม่บ้าน พนักงานโรงงาน
1358650875221213186,,ผู้ติดเชื้อ,จุฬาลงกรณ์มหาวิทยาลัย ออกแถลงฉบับ พบผู้ติดเชื้อ
1358645943566962689,,"รายใหม่เพิ่ม, ต้องดูแลเป็นพิเศษ",จุฬาลงกรณ์มหาวิทยาลัย พบผู้ติดเชื้อโควิด รายใหม่เพิ่มอีก ราย เร่งตรวจหาเชื่้อแล้ว ราย พร้อมประกาศให้ จุฬานิวาส เป็นพื้นที่ต้องดูแลเป็นพิเศษ
1358642623221649411,,เข้าข่าย,ศบค. รายงานสถานการณ์ โควิด ในกรุงเทพฯ พบผู้ติดเชื้อเพิ่มวันนี้ ราย จากเคสจุฬาฯ เข้าข่ายอีก ราย รอ สธ.แถลงรายละเอียดรอบบ่าย ยอดสะสม ราย
1358446537966145537,,ไม่สามารถ,ขอถามเป็นความรู้นะคะว่า คนที่เป็นโควิดอะ คือจะต้องนอนคนเดียว ญาตคนในครอบครัวไม่สามารถเข้าไปเยี่ยมได้เลยใช่ไหม ต้อง อย่างเดียว เนี่ยๆอย่างโรคอื่นมันยังดีกว่าที่สามารถเยี่ยมได้ นอนค้างด้วยได้เนอะ .....#โควิด
1358445003438133254,ไม่กลัว,เรากลัว,ขอวิธี บอกพ่อแม่ให้ล้างมือด้วยสบูาบ่อยๆ บ้านน่ะมีสบู่ค่ะ แต่ชอบใช้แค่เจลแอลกอฮอล คือไม่กลัวเลยยยย โคว่งโควิด เรานี่พูดดดดหลายรอบแล้ว เรากลัว
1358381242308128770,,,กทม. สรุปไทม์ไลน์ ผู้ติดเชื้อใหม่ ราย มีประวัติน่าสนใจเดินทางไปห้างแพลตตินั่ม ตลาดอินดี้ โรงงานเขตภาษีเจริญ
1358374579907878914,ไม่เสี่ยง,"มีอาการหอบ, ดมกลิ่นไม่ได้",ไปหาหมอจะตรวจโควิด พยาบาลบอกว่า ไม่เสี่ยงนะคะ ถ้าเสี่ยงต้องต่อท่อและมีอาการหอบ แต่คือเพื่อนนี่ จมูกดมกลิ่นไม่ได้ละไง ละเราก็ไปเดินตลาดตรงกับไทม์ไลน์คนติดโควิด แจ้งแล้วแต่บอกไม่เสี่ยง
1358361389186732033,,"ติดเชื้อ,โควิด",กทม.ติดเชื้ออีก เปิดไทม์ไลน์โควิด ชายขายประกัน เดินทั่ว ห้างแพลตตินัม ย่านประตูน้ำ สำเพ็ง ตลาดอินดี้
1358341596593311744,,ภาวะฉุกเฉิน,จุฬาลงกรณ์มหาวิทยาลัย ออกประกาศมาตรการของคณะกรรมการศูนย์ปฏิบัติการภาวะฉุกเฉินโควิด ฉบับที่ หลังพบบุคลากรติดเชื้อ เพิ่ม ราย
1358335697451503622,,ไม่ได้เดินทาง,กทม.เปิดไทม์ไลน์ผู้ติดเชื้อโควิด เพิ่ม ราย พบมีผู้สูงอายุ ปี ไม่ได้เดินทางไปไหน
1358308754039611394,,"พุ่งเกือบเท่าตัว, ยังหนัก",วันนี้ติดโควิด คน เผยตัวเลขที่ซ่อนอยู่ ติดเชื้อในประเทศ คน กลับมาพุ่งเกือบเท่าตัว สมุทรสาครยังหนัก
1358285998933692416,,"สั่งคุมเข้ม,แพร่เชื้อ",จุฬาฯประกาศภาวะฉุกเฉิน พบบุคลากรติดโควิด แพร่เชื้อให้เพื่อน สั่งคุมเข้ม
1358282016463089668,,ป่วยแล้ว,ศบค. รายงาน สถานการณ์ โควิด ในกรุงเทพฯ พบผู้ติดเชื้อรายใหม่เพิ่ม ราย สะสมยอดป่วยแล้ว ราย
1358000199604445191,ไม่พบผู้ป่วย,,กทม.เผยผลตรวจเชิงรุกล่าสุด ไม่พบผู้ป่วยโควิดเพิ่ม เขต
1357996726078959617,,,วันพฤ หลักหน่วย เมื่อวานขึ้นต้นด้วย วันนี้ขึ้นต้นด้วย พรุ่งนี้จะขึ้นต้นด้วยมั้ย
1357972465083764737,,ผู้ป่วยนำโด่ง,กทม.เปิดผลตรวจโควิด เชิงรุก เขต พบภาษีเจริญยอดผู้ป่วยนำโด่ง
1357640473540587520,,,กทม.เปิดไทม์ไลน์ผู้ป่วยโควิด เพิ่มอีก ราย โดยรายที่ เป็นชาย อาชีพธุรกิจส่วนตัว พบเดินห้างสรรพสินค้าหลายแห่ง ออกกำลังกายที่สวนวชิรเบญจทัศ จตุจักร ไปถ่ายทำรายการที่ตึก ร้านกะทิบ้านอาหารไทยและร้านย่างเนย
1357539246618206208,"เฮ, ไม่เจอติดเชื้อ",,เฮ เปิดรายชื่อ เขตกรุงเทพฯ ไม่เจอติดเชื้อ โควิด ครบ วัน
1357335071632416772,,,เช็คกันให้ไว กทม.เปิด เขตไหนบ้าง ไม่พบผู้ติดเชื้อโควิด มาแล้ว วัน
1357295094525685761,ไม่พบผู้ติดเชื้อ,,โฆษก กทม.อัปเดตสถานการณ์ เขต ในพื้นที่ กรุงเทพมหานคร ไม่พบผู้ติดเชื้อโควิด มาแล้ว วัน
1357200418120429569,"ล้างมือ,สวมหน้ากาก",,หมอทวีศิลป์ ฝากช่วงเทศกาลตรุษจีนปีนี้ อยากขอความร่วมมือประชาชน จับจ่ายของไหว้ ต้องล้างมือ สวมหน้ากาก รวมญาติไม่รวมเชื้อ รักษาระยะห่าง อั่งเปาออนไลน์ ลดเสี่ยงติดเชื้อ
1357196022045286400,,"สะสมสูงสุด, ป่วยสะสม",ศบค.อัพเดท เขต ที่มีผู้ป่วยยืนยันสะสมสูงสุดในพื้นที่ กทม. พบเขตบางขุนเทียนมีผู้ติดเชื้อมากที่สุด คน มีอัตราป่วยสะสม . ต่อประชากรแสนคน
1357126008323772417,,ติดเชื้อทั้งคู่,เช็กด่วน ไทม์ไลน์ผู้ป่วยโควิดกทม. ราย พนักงานโรงงานเย็บผ้าติดเชื้อหลายรายหนุ่มว่างงานไปเล่นเกมส์บ้านเพื่อนพากันติดเชื้อทั้งคู่
1356924519114366978,,ติดเป็นกลุ่มก้อน,กทม.เปิดไทม์ไลน์โควิดอีก ราย พบพนักงานเย็บผ้าย่านเพชรเกษมติดเป็นกลุ่มก้อน
1356801777316716544,,,กทม.สั่งปิด สถานรับเลี้ยงเด็กและศูนย์พัฒนาเด็กก่อนวัยเรียน สังกัดกรุงเทพมหานคร ในเขตบางบอน หนองแขม และภาษีเจริญ หลังพบแรงงานเมียนมา ติดเชื้อโควิด จำนวน ราย
1356664038164287488,,สั่งปิด,กทม.สั่งปิดโรงเรียนวัดจันทร์ประดิษฐารามเพื่อป้องกันการแพร่ระบาดโควิด ติดตามรายละเอียดได้ที่
1356600407422873601,,โควิดเพียบ,ประกาศ กทม. สั่งปิดสถานที่ ประเภท ใน เขต หลังตรวจเชิงรุกเจอติดเชื้อโควิดเพียบ
1356571867243511808,,เสี่ยงสูง,ด่วนกทม.สั่งปิดโรงเรียน หลังตรวจโควิดโรงงานอยู่ใกล้ คน ติดเชื้อ เสี่ยงสูง ลุ้นผลตรวจอีก คน
1356397831976706048,,กระจายหลายพื้นที่,กทม.เปิดไทม์ไลน์ผู้ติดเชื้อโควิด ราย กระจายหลายพื้นที่ทั้งไปห้างเดินตลาด
1355851833105739779,,,อีกรอบ สำหรับสิ่งที่กรุงเทพทำได้ในวันพรุ่งนี้ ..
1355705458321879040,ผ่อนคลาย,,อัศวิน ขวัญเมือง ลงนามประกาศ กทม.ผ่อนคลายมาตรการโควิด กิจการ ประเภทเริ่ม ก.พ.
1355492953356025858,ตรวจเชิงรุก,เลื่อนเปิดเรียน,ว่าใงดี ควรตรวจเลื่อนเปิดเรียนและตรวจเชิงรุกทุกจังหวัดนะคะ
1355452865645449216,ดีขึ้น,ไม่เห็นตรวจ,มันดีขึ้นยังไง อ้าวด่านตรวจหรอกหรอเนี่ย เห็นกางเต้นท์นั่งเล่นกัน ไม่เห็นตรวจไรเลย
1355428105716858880,,,กทม.เปิดไทม์ไลน์โควิดอีก ราย พบแพร่เชื้อกันเองในกลุ่มพนักงานร้านอาหารคาเฟ่
1355392824716316673,,,เช็กด่วน ไทม์ไลน์ผู้ป่วยโควิดกทม. ราย เด็กขวบทนายนักศึกษาฝึกงานพนักงานร้านอาหารห้างดังหลายราย พบประวัติผู้ป่วยหลายรายเดินทางไปยังสถานที่คนพลุกพล่าน
1355127628743602182,สร้างความเชื่อมั่น,ประกาศปิด,#ไอคอนสยาม ตรวจเชิงรุก ไม่พบพนักงาน คนติดเชื้อโควิด ประกาศปิดวันอาทิตย์ที่ มกราคม นี้ บิ๊กคลีนนิ่งใหญ่ซ้ำอีกรอบ เพื่อสร้างความเชื่อมั่นให้กับประชาชน
1355127488276357125,,ปกปิดไทม์ไลน์,#นายตำรวจติดโควิด ถาม โฆษกกทม. แบบนี้เรียกปกปิดไทม์ไลน์เหรอ
1355126606298230786,,,นายตำรวจติดโควิด ถาม โฆษกกทม. แบบนี้เรียกปกปิดไทม์ไลน์เหรอ
1355123661460570114,,,ไอคอนสยาม ตรวจเชิงรุก ไม่พบพนักงาน คนติดเชื้อโควิด ประกาศปิดวันอาทิตย์ที่ มกราคม นี้ บิ๊กคลีนนิ่งใหญ่ซ้ำอีกรอบ เพื่อสร้างความเชื่อมั่นให้กับประชาชน
1355016239718957059,,เสียชีวิต,ศบค.สรุปยอดผู้ติดเชื้อโควิด ในไทย วันนี้ . น. ผู้ติดเชื้อสะสม คน + รักษาหายแล้ว คน + เสียชีวิตสะสม คน +
1355010280191717377,,,โฆษก กทม. แจงไทม์ไลน์ผู้ป่วยสับสน ชี้ ข้อมูลยึดตาม ใบโนเวลเป็นหลัก
1354742424937979904,,ติดจาก,เปิดไทม์ไลน์โควิดกทม.ส่วนใหญ่ติดจากเพื่อนที่ทำงานกินข้าวด้วยกัน
1354738262275891200,,,กทม.เปิดไทม์ไลน์ผู้ติดเชื้อโควิด เพิ่ม ราย โดยหนึ่งในนั้นมีเด็กชาย อายุ ขวบ ส่งผลให้ตั้งแต่วันที่ ธ.ค. ม.ค. กทม. มีผู้ป่วยสะสมรวม ราย
1354672876566179842,,"ติดเชื้อเพิ่ม, ปกปิดข้อมูล",กลุ่มเสี่ยงสูง คนที่เชื่อมโยง งานโรงแรมทั้ง แห่ง เคส ดีเจอมะตูม ล่าสุดติดเชื้อเพิ่มอีก รวมเป็น คน ส่วนการปกปิดข้อมูล กทม.ได้แก้ไทม์ไลน์แล้วและจะเร่งสอบว่าจริงตามที่ให้ข้อมูลใหม่หรือไม่
1354671841416073217,,ข้อมูลเท็จ,#กทม.เร่งสอบสวนไทม์ไลน์ผู้ติดเชื้อโควิด รายหลังสงสัยให้ข้อมูลเท็จ
1354669209058349056,,,กรมควบคุมโรค ประสาน กทม. เร่งตรวจสอบและดำเนินการตาม พ.ร.ก.ฉุกเฉิน พ.ร.บ.โรคติดต่อ หรือกฎหมายอื่นที่เกี่ยวข้องอย่างเคร่งครัด กรณีผู้ป่วยโควิด ปกปิดข้อมูล
1354657253341634560,,,ทีมโฆษกกรุงเทพมหานครดูจะมึนๆงงๆนะครับ ตั้งสติก่อนค่อยแถลงจะดีกว่านี้
1354585714835353600,,,กทม. เผยไทม์ไลน์ใหม่ ผู้ป่วยโควิดปกปิดข้อมูล พบส่วนใหญ่บอกอยู่แต่ที่พัก ชาวเน็ตตั้งคำถาม ได้ข้อมูลจริงหรือเท็จ
1354477780335882242,,ปาร์ตี้,กทม.เปิดไทม์ไลน์ใหม่ นักร้อง พีอาร์ สารวัตรกลุ่มรับเชื้อปาร์ตี้ดีเจมะตูม เทียบ เวอร์ชั่น ปิด เปิดข้อมูล
1354408309369917443,,ติดป่วย,จนท.สอบสวนโรคก็แปลก ผู้ติดป่วย
1354398089491095553,ไม่ได้ปกปิดไทม์ไลน์,,ผมไม่ได้ปกปิดไทม์ไลน์ บอกทุกอย่างละเอียด หนึ่งในผู้ป่วยโยงเคสปาร์ตี้วันเกิดโรงแรมดัง ที่ทาง กทม. ออกมาเปิดเผยว่า ผู้ป่วยไม่ให้ข้อมูล โพสต์เปิดใจชี้แจง พร้อมไล่ไทม์ไลน์ทั้งหมด
1354385408805670913,,ฆ่าเชื้อ,เมเจอร์ รัชโยธิน รับ มีผู้ติดเชื้อโควิด เข้ามาใช้บริการจริง เร่งทำความสะอาดฆ่าเชื้อ พร้อมสั่งกักตัวพนักงานที่มีความเสี่ยงสูง วัน
1354364134033244162,ยอมเปิดเผย,,ล่าสุด ผู้ติดเชื้อที่เป็นเชฟร้านอาหาร ยอมเปิดเผยข้อมูลที่ปิดออกมาแล้ว ..แต่กูว่าไม่ใช่ละ... อิสัส พวกกูกินข้าวนะไม่ได้กินหญ้า
1354362385335635975,"แก้ไข,","ติดโควิด,ไม่ให้ข้อมูล",กทม. แก้ไขไทม์ไลน์ เชฟร้านอาหาร ติดโควิด วันที่ ม.ค. ถึง รอบ จาก ผู้ป่วยไม่ให้ข้อมูล เป็น ตลอดวัน อาศัยอยู่ที่พัก เขตภาษีเจริญ และ ตลอดวัน อาศัยอยู่ที่พัก
1354340024913784836,สั่งสอบ,"เอาผิด,ผิด,ปิดไทม์ไลน์",ผู้ว่าฯกทม. สั่งสอบเคสคนดังร่วมงานดีเจมะตูมปิดไทม์ไลน์โควิด ลั่นพร้อมเอาผิด
1354315997688152067,"เปิดนาทีซึ้ง,น้ำตาไหล,ห่วงใย","ป่วยโควิด,",เปิดนาทีซึ้ง ลูกสาวผู้ว่าฯสมุทรสาครเห็นหน้าพ่อครั้งแรกหลังป่วยโควิดร่วมเดือน หมอเล่า ผู้ว่าฯวีระศักดิ์ น้ำตาไหล หลังทราบความคืบหน้าโรงพยาบาลสนาม ศูนย์ห่วงใยคนสาคร
1354311420465147905,"คลายล็อก,กลับ",เข้มงวด,ศบค.ชุดเล็ก เสนอคลายล็อก มีประเด็นให้กลับไปเรียนที่โรงเรียน โดยจะลดพื้นที่ควบคุมสูงสุดและเข้มงวด เหลือ จังหวัด คือ จังหวัดสมุทรสาคร
1354303216544931844,,"แฉ,ปกปิด,ไม่ให้ข้อมูล",เจอแฉอีก แก๊งดีเจมะตูม ปกปิดไทม์ไลน์ วัน ไม่ให้ข้อมูลหลังติด โควิด
1354302015078166528,,ไม่เปิดข้อมูล,พวกที่มี วันนนี้แล้วไม่เปิดข้อมูลนี้ทำได้ด้วยเหรอ หนึ่งในนั้นเป็นเจ้าหน้าที่ด้วย
1354298616265883649,,ไม่ให้ข้อมูล,กทม.เปิดไทม์ไลน์ นักร้องนักแสดงชาย อีกคน ติดโควิด พบร่วมงานวันเกิดดีเจมะตูม มีอาการปวดหัวไข้เสมหะจมูกไม่ได้กลิ่นลิ้นไม่รับรส แต่ไม่ให้ข้อมูลวันที่ ม.ค.
1354296945112608769,,,บอยแบรนด์ประเทศเราตอนนี้มีวงไรบ้างอ่ะ อายุ
1354295883588804611,,ผู้ป่วย,หนุ่ม กรรชัย พูดในรายการเที่ยงวันฯ ว่าผู้ป่วยวัย ปีรายนี้ เป็นนักร้องบอยแบนด์
1354286741591449602,,พบผู้ติดเชื้อ,ด่วน . น. วันนี้ พบผู้ติดเชื้อ
1354284037511077891,,"เปิดไทม์ไลน์ไม่ได้,ไม่ยอมให้ข้อมูลไทม์ไลน์",กทม.เปิดไทม์ไลน์ไม่ได้ พบเจ้าหน้าที่รัฐ ไปร่วมงานเลี้ยงวันเกิดดาราและไม่ยอมให้ข้อมูลไทม์ไลน์
1354231888597065730,ขยายกำหนดเวลา,ไม่เกิน,ราชกิจจานุเบกษา เผยแพร่ประกาศกระทรวงมหาดไทย ขยายกำหนดเวลาการจัดทำบัตรประจำตัวประชาชน จากสถานการณ์การแพร่ระบาดของโควิด ไม่เกิน เม.ย.
1354229134633758722,,,กทม.เผย ไทม์ไลน์ นักธุรกิจโยงเคสดีเจมะตูมนั่งเครื่องบินเดินห้างไปฟิตเนส
1354037149964804096,,,กทม. เผยไทม์ไลน์ผู้ติดเชื้อ ราย พบ ขึ้น เดินห้างดังเข้าฟิตเนส อ่านต่อ
1354031524895580160,เปิดลงทะเบียน,,เปิดลงทะเบียน เราชนะ กลุ่มไม่มีสมาร์ทโฟนต้องทำอย่างไร
